Date,CDI
20150102,000001157                                                               
20150105,000001157                                                               
20150106,000001157                                                               
20150107,000001157                                                               
20150108,000001157                                                               
20150109,000001157                                                               
20150112,000001157                                                               
20150113,000001157                                                               
20150114,000001157                                                               
20150115,000001157                                                               
20150116,000001157                                                               
20150119,000001157                                                               
20150120,000001157                                                               
20150121,000001157                                                               
20150122,000001209                                                               
20150123,000001208                                                               
20150126,000001208                                                               
20150127,000001208                                                               
20150128,000001208                                                               
20150129,000001208                                                               
20150130,000001208                                                               
20150202,000001208                                                               
20150203,000001209                                                               
20150204,000001209                                                               
20150205,000001209                                                               
20150206,000001209                                                               
20150209,000001209                                                               
20150210,000001209                                                               
20150211,000001209                                                               
20150212,000001209                                                               
20150213,000001209                                                               
20150218,000001209                                                               
20150219,000001209                                                               
20150220,000001209                                                               
20150223,000001209                                                               
20150224,000001209                                                               
20150225,000001209                                                               
20150226,000001209                                                               
20150227,000001209                                                               
20150302,000001209                                                               
20150303,000001209                                                               
20150304,000001209                                                               
20150305,000001260                                                               
20150306,000001260                                                               
20150309,000001260                                                               
20150310,000001260                                                               
20150311,000001260                                                               
20150312,000001260                                                               
20150313,000001260                                                               
20150316,000001260                                                               
20150317,000001260                                                               
20150318,000001260                                                               
20150319,000001260                                                               
20150320,000001260                                                               
20150323,000001261                                                               
20150324,000001261                                                               
20150325,000001261                                                               
20150326,000001261                                                               
20150327,000001261                                                               
20150330,000001260                                                               
20150331,000001260                                                               
20150401,000001260                                                               
20150402,000001260                                                               
20150406,000001260                                                               
20150407,000001260                                                               
20150408,000001260                                                               
20150409,000001260                                                               
20150410,000001260                                                               
20150413,000001260                                                               
20150414,000001260                                                               
20150415,000001260                                                               
20150416,000001260                                                               
20150417,000001260                                                               
20150420,000001260                                                               
20150422,000001260                                                               
20150423,000001260                                                               
20150424,000001260                                                               
20150427,000001261                                                               
20150428,000001262                                                               
20150429,000001262                                                               
20150430,000001311                                                               
20150504,000001311                                                               
20150505,000001313                                                               
20150506,000001313                                                               
20150507,000001313                                                               
20150508,000001313                                                               
20150511,000001313                                                               
20150512,000001313                                                               
20150513,000001313                                                               
20150514,000001313                                                               
20150515,000001313                                                               
20150518,000001313                                                               
20150519,000001313                                                               
20150520,000001313                                                               
20150521,000001313                                                               
20150522,000001313                                                               
20150525,000001313                                                               
20150526,000001313                                                               
20150527,000001313                                                               
20150528,000001313                                                               
20150529,000001313                                                               
20150601,000001313                                                               
20150602,000001313                                                               
20150603,000001313                                                               
20150605,000001364                                                               
20150608,000001364                                                               
20150609,000001364                                                               
20150610,000001364                                                               
20150611,000001364                                                               
20150612,000001364                                                               
20150615,000001364                                                               
20150616,000001364                                                               
20150617,000001364                                                               
20150618,000001364                                                               
20150619,000001364                                                               
20150622,000001364                                                               
20150623,000001364                                                               
20150624,000001364                                                               
20150625,000001364                                                               
20150626,000001364                                                               
20150629,000001364                                                               
20150630,000001364                                                               
20150701,000001364                                                               
20150702,000001364                                                               
20150703,000001364                                                               
20150706,000001364                                                               
20150707,000001364                                                               
20150708,000001364                                                               
20150709,000001364                                                               
20150710,000001364                                                               
20150713,000001364                                                               
20150714,000001364                                                               
20150715,000001364                                                               
20150716,000001364                                                               
20150717,000001364                                                               
20150720,000001364                                                               
20150721,000001364                                                               
20150722,000001364                                                               
20150723,000001364                                                               
20150724,000001364                                                               
20150727,000001364                                                               
20150728,000001364                                                               
20150729,000001364                                                               
20150730,000001413                                                               
20150731,000001413                                                               
20150803,000001413                                                               
20150804,000001413                                                               
20150805,000001413                                                               
20150806,000001413                                                               
20150807,000001413                                                               
20150810,000001413                                                               
20150811,000001413                                                               
20150812,000001413                                                               
20150813,000001413                                                               
20150814,000001413                                                               
20150817,000001413                                                               
